PIB y sus componentes;Valor absoluto/porcentaje/índice;Periodo;Total
Gasto Turístico Interior;Precios corrientes: Millones de euros;2022(A);146.354,5
Gasto Turístico Interior;Precios corrientes: Millones de euros;2021(P);91.735,1
Gasto Turístico Interior;Precios corrientes: Millones de euros;2020;56.533,8
Gasto Turístico Interior;Precios corrientes: Millones de euros;2019;138.622,6
Gasto Turístico Interior;Precios corrientes: Millones de euros;2018;132.255,3
Gasto Turístico Interior;Precios corrientes: Millones de euros;2017;127.895,6
Gasto Turístico Interior;Precios corrientes: Millones de euros;2016;115.709,2
Gasto Turístico Interior;Precios corrientes: Millones de euros;2015;..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2022(A);..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2021(P);..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2020;..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2019;..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2018;..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2017;..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2016;..
Gasto Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2015;..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2022(A);..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2021(P);..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2020;..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2019;..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2018;..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2017;..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2016;..
Gasto Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2015;..
Consumo Turístico Interior;Precios corrientes: Millones de euros;2022(A);168.024,3
Consumo Turístico Interior;Precios corrientes: Millones de euros;2021(P);107.736,2
Consumo Turístico Interior;Precios corrientes: Millones de euros;2020;69.664,0
Consumo Turístico Interior;Precios corrientes: Millones de euros;2019;158.577,8
Consumo Turístico Interior;Precios corrientes: Millones de euros;2018;151.910,4
Consumo Turístico Interior;Precios corrientes: Millones de euros;2017;145.963,0
Consumo Turístico Interior;Precios corrientes: Millones de euros;2016;131.668,9
Consumo Turístico Interior;Precios corrientes: Millones de euros;2015;..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2022(A);..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2021(P);..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2020;..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2019;..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2018;..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2017;..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2016;..
Consumo Turístico Interior;Precios corrientes: Porcentaje sobre el PIB;2015;..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2022(A);..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2021(P);..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2020;..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2019;..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2018;..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2017;..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2016;..
Consumo Turístico Interior;Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2015;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2022(A);..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2021(P);212.836,2
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2020;191.237,2
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2019;247.454,6
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2018;238.930,8
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2017;230.996,4
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2016;221.584,8
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Millones de euros;2015;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2022(A);..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2021(P);..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2020;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2019;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2018;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2017;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2016;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios corrientes: Porcentaje sobre el PIB;2015;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2022(A);..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2021(P);..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2020;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2019;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2018;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2017;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2016;..
Valor Añadido Bruto de las industrias turísticas (VABIT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2015;..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2022(A);..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2021(P);64.490,8
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2020;54.278,3
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2019;77.663,3
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2018;74.857,1
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2017;71.127,0
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2016;64.860,7
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Millones de euros;2015;..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2022(A);..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2021(P);..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2020;..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2019;..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2018;..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2017;..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2016;..
Valor Añadido Bruto  directo turístico (VABDT);Precios corrientes: Porcentaje sobre el PIB;2015;..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2022(A);..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2021(P);..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2020;..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2019;..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2018;..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2017;..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2016;..
Valor Añadido Bruto  directo turístico (VABDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2015;..
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2022(A);..
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2021(P);67.242,9
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2020;56.592,8
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2019;84.245,9
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2018;81.105,0
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2017;77.015,5
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2016;72.783,1
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Millones de euros;2015;..
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2022(A);..
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2021(P);5,5
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2020;5,1
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2019;6,8
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2018;6,7
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2017;6,6
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2016;6,5
Producto Interior Bruto directo turístico (PIBDT);Precios corrientes: Porcentaje sobre el PIB;2015;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2022(A);..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2021(P);..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2020;..
Producto Interior Bruto directo turístico (PIBDT);Precios constantes: Índices de volumen encadenados (referencia año 2015 = 100);2019;..
