Tipo de vivienda (principal o no);Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del municipio;Total
Total;Total Nacional;01 Andalucía;04 Almería;Total (tamaño de municipio);434.546
Total;Total Nacional;01 Andalucía;11 Cádiz;Total (tamaño de municipio);648.306
Total;Total Nacional;01 Andalucía;14 Córdoba;Total (tamaño de municipio);414.088
Total;Total Nacional;01 Andalucía;18 Granada;Total (tamaño de municipio);573.717
Total;Total Nacional;01 Andalucía;21 Huelva;Total (tamaño de municipio);320.916
Total;Total Nacional;01 Andalucía;23 Jaén;Total (tamaño de municipio);373.720
Total;Total Nacional;01 Andalucía;29 Málaga;Total (tamaño de municipio);996.566
Total;Total Nacional;01 Andalucía;41 Sevilla;Total (tamaño de municipio);913.014
Total;Total Nacional;02 Aragón;22 Huesca;Total (tamaño de municipio);171.853
Total;Total Nacional;02 Aragón;44 Teruel;Total (tamaño de municipio);125.711
Total;Total Nacional;02 Aragón;50 Zaragoza;Total (tamaño de municipio);543.799
Total;Total Nacional;03 Asturias, Principado de;33 Asturias;Total (tamaño de municipio);674.342
Total;Total Nacional;04 Balears, Illes;;Total (tamaño de municipio);652.123
Total;Total Nacional;04 Balears, Illes;07 Balears, Illes;Total (tamaño de municipio);652.123
Total;Total Nacional;05 Canarias;35 Palmas, Las;Total (tamaño de municipio);551.259
Total;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total (tamaño de municipio);537.469
Total;Total Nacional;06 Cantabria;39 Cantabria;Total (tamaño de municipio);383.642
Total;Total Nacional;07 Castilla y León;05 Ávila;Total (tamaño de municipio);171.947
Total;Total Nacional;07 Castilla y León;09 Burgos;Total (tamaño de municipio);275.671
Total;Total Nacional;07 Castilla y León;24 León;Total (tamaño de municipio);354.751
Total;Total Nacional;07 Castilla y León;34 Palencia;Total (tamaño de municipio);116.431
Total;Total Nacional;07 Castilla y León;37 Salamanca;Total (tamaño de municipio);246.123
Total;Total Nacional;07 Castilla y León;40 Segovia;Total (tamaño de municipio);128.255
Total;Total Nacional;07 Castilla y León;42 Soria;Total (tamaño de municipio);84.255
Total;Total Nacional;07 Castilla y León;47 Valladolid;Total (tamaño de municipio);296.910
Total;Total Nacional;07 Castilla y León;49 Zamora;Total (tamaño de municipio);155.611
Total;Total Nacional;08 Castilla - La Mancha;02 Albacete;Total (tamaño de municipio);241.341
