Mayor alquiler mensual;;Menor alquiler mensual;
Pozuelo de Alarcón;1.088,4;Ponferrada;347,9
Sant Cugat del Vallès;1.045,6;Ferrol;349,2
Majadahonda;987,4;Alcoi/Alcoy;352,3
Barcelona;902,8;Linares;360,8
Castelldefels;895,8;Elda;361,4
Madrid;887,4;Lugo;377,6
Alcobendas;868,1;Mérida;386,8
Rozas de Madrid, Las;855,3;Talavera de la Reina;389,9
Marbella;788,2;Zamora;390,1
Rivas-Vaciamadrid;768,3;Ourense;397,6
San Sebastián de los Reyes;753,2;Torrevieja;401,2
Palma;751,1;Palencia;414,8
Viladecans;718,0;Ciudad Real;416,8
Prat de Llobregat, El;708,8;Avilés;417,2
Badalona;704,9;Lorca;425,7
